timestamp,open,high,low,close,volume,trade_count,vwap,30_DAY_SMA,50_DAY_SMA,upper_band,middle_band,lower_band
2022-06-01 08:00:00+00:00,413.87,413.87,413.76,413.76,433,14,413.899561,,,,,
2022-06-01 08:02:00+00:00,413.8,413.8,413.76,413.76,533,10,413.745685,,,,,
2022-06-01 08:03:00+00:00,413.7,413.74,413.7,413.74,288,10,413.691354,,,,,
2022-06-01 08:05:00+00:00,413.7,413.7,413.7,413.7,322,6,413.686366,,,,,
2022-06-01 08:06:00+00:00,413.34,413.34,413.34,413.34,189,6,413.347619,,,,,
2022-06-01 08:08:00+00:00,412.91,412.91,412.71,412.71,891,7,412.775286,,,,,
2022-06-01 08:09:00+00:00,412.69,413.09,412.69,413.09,5294,17,412.929328,,,,,
2022-06-01 08:10:00+00:00,413.07,413.07,412.99,412.99,309,7,413.009061,,,,,
2022-06-01 08:12:00+00:00,412.67,412.67,412.67,412.67,224,3,412.683929,,,,,
2022-06-01 08:13:00+00:00,412.84,412.84,412.69,412.74,550,5,412.741818,,,,,
2022-06-01 08:14:00+00:00,412.61,412.61,412.5,412.5,415,7,412.530265,,,,,
2022-06-01 08:16:00+00:00,412.55,412.69,412.55,412.69,650,3,412.581538,,,,,
2022-06-01 08:17:00+00:00,412.55,412.66,412.55,412.66,313,6,412.588147,,,,,
2022-06-01 08:18:00+00:00,412.69,412.69,412.69,412.69,100,1,412.69,,,,,
2022-06-01 08:20:00+00:00,412.39,412.39,412.38,412.38,423,6,412.430544,,,,,
2022-06-01 08:21:00+00:00,412.42,412.42,412.42,412.42,325,5,412.431538,,,,,
2022-06-01 08:22:00+00:00,412.57,412.59,412.57,412.59,310,4,412.580323,,,,,
2022-06-01 08:23:00+00:00,412.56,412.56,412.52,412.52,300,3,412.543333,,,,,
2022-06-01 08:25:00+00:00,412.87,412.87,412.79,412.79,213,3,412.826338,,,,,
2022-06-01 08:26:00+00:00,412.85,412.85,412.82,412.82,300,4,412.845,,,,,
2022-06-01 08:27:00+00:00,412.82,412.82,412.79,412.8,353,6,412.802493,,,,,
2022-06-01 08:30:00+00:00,412.94,413.01,412.94,413.01,754,8,412.99691,,,,,
2022-06-01 08:31:00+00:00,413.04,413.1,413.04,413.1,907,7,413.08946,,,,,
2022-06-01 08:32:00+00:00,413.17,413.24,413.17,413.24,475,5,413.204211,,,,,
2022-06-01 08:33:00+00:00,413.18,413.18,413.06,413.06,201,3,413.120299,,,,,
2022-06-01 08:34:00+00:00,413.08,413.08,413.08,413.08,103,2,413.080291,,,,,
2022-06-01 08:36:00+00:00,413.17,413.17,413.17,413.17,100,1,413.17,,,,,
2022-06-01 08:37:00+00:00,413.13,413.13,413.13,413.13,3000,4,413.13,,,,,
2022-06-01 08:38:00+00:00,413.11,413.11,412.83,412.88,702,5,412.90584,,,,,
2022-06-01 08:39:00+00:00,412.84,412.84,412.84,412.84,100,1,412.84,412.9623333333332,,413.73621848142506,412.9623333333332,412.1884481852414
2022-06-01 08:40:00+00:00,413.02,413.02,413.02,413.02,201,3,413.019502,412.9376666666666,,413.6532584187943,412.9376666666666,412.2220749145389
2022-06-01 08:43:00+00:00,412.9,412.9,412.9,412.9,102,2,412.901373,412.9089999999999,,413.5561547987794,412.9089999999999,412.26184520122035
2022-06-01 08:44:00+00:00,412.85,412.85,412.85,412.85,115,2,412.853913,412.87933333333325,,413.44826058911246,412.87933333333325,412.31040607755403
2022-06-01 08:45:00+00:00,413.06,413.18,413.06,413.18,279,6,413.111219,412.8619999999999,,413.356702604227,412.8619999999999,412.3672973957728
2022-06-01 08:46:00+00:00,413.14,413.14,413.14,413.14,250,3,413.136,412.8553333333332,,413.3290345988488,412.8553333333332,412.3816320678176
2022-06-01 08:47:00+00:00,413.0,413.15,413.0,413.15,954,6,413.078994,412.8699999999999,,413.3519681872374,412.8699999999999,412.3880318127624
2022-06-01 08:50:00+00:00,413.39,413.39,413.39,413.39,169,5,413.347278,412.8799999999999,,413.3913641887137,412.8799999999999,412.3686358112861
2022-06-01 08:51:00+00:00,413.33,413.33,413.33,413.33,400,1,413.33,412.8913333333332,,413.4264653007419,412.8913333333332,412.3562013659245
2022-06-01 08:52:00+00:00,413.39,413.39,413.39,413.39,1721,3,413.388414,412.9153333333332,,413.47272567496555,412.9153333333332,412.35794099170084
2022-06-01 08:53:00+00:00,413.26,413.32,413.26,413.32,256,5,413.3025,412.9346666666665,,413.5064412923161,412.9346666666665,412.3628920410169
2022-06-01 08:56:00+00:00,413.17,413.17,413.16,413.16,205,3,413.166585,412.95666666666654,,413.51035330112705,412.95666666666654,412.402980032206
2022-06-01 08:57:00+00:00,413.21,413.21,413.21,413.21,100,1,413.21,412.9739999999998,,413.5257632344914,412.9739999999998,412.4222367655082
2022-06-01 08:58:00+00:00,413.17,413.18,413.17,413.18,599,3,413.179983,412.99133333333316,,413.53516500685674,412.99133333333316,412.4475016598096
2022-06-01 09:00:00+00:00,413.29,413.29,413.29,413.29,116,3,413.267155,413.01133333333314,,413.5534952609547,413.01133333333314,412.46917140571156
2022-06-01 09:01:00+00:00,413.37,413.37,413.37,413.37,100,1,413.37,413.0443333333332,,413.5479120815309,413.0443333333332,412.5407545851355
2022-06-01 09:02:00+00:00,413.31,413.31,413.3,413.3,700,2,413.305714,413.0736666666665,,413.5285214666955,413.0736666666665,412.6188118666375
2022-06-01 09:04:00+00:00,413.2,413.2,413.18,413.18,700,3,413.19,413.0933333333332,,413.5124541061445,413.0933333333332,412.6742125605219
2022-06-01 09:06:00+00:00,413.45,413.45,413.45,413.45,111,3,413.448559,413.1243333333332,,413.5050583726052,413.1243333333332,412.7436082940612
2022-06-01 09:07:00+00:00,413.49,413.49,413.49,413.49,170,2,413.49,413.1476666666665,,413.52937103160787,413.1476666666665,412.76596230172515
2022-06-01 09:08:00+00:00,413.51,413.51,413.51,413.51,307,5,413.50798,413.17066666666653,413.07359999999994,413.5537744263552,413.17066666666653,412.7875589069779
2022-06-01 09:09:00+00:00,413.44,413.45,413.44,413.45,5726,13,413.449308,413.19233333333324,413.06739999999996,413.56243902372074,413.19233333333324,412.82222764294573
2022-06-01 09:10:00+00:00,413.45,413.45,413.45,413.45,575,3,413.445652,413.20699999999994,413.06120000000004,413.581883092567,413.20699999999994,412.83211690743286
2022-06-01 09:13:00+00:00,413.39,413.41,413.39,413.41,470,5,413.39766,413.2173333333332,413.0546,413.59690970523144,413.2173333333332,412.837756961435
2022-06-01 09:14:00+00:00,413.35,413.35,413.35,413.35,583,3,413.354271,413.2209999999999,413.04759999999993,413.6034953156772,413.2209999999999,412.8385046843226
2022-06-01 09:17:00+00:00,413.44,413.44,413.44,413.44,288,4,413.421771,413.23366666666664,413.04959999999994,413.61915279499533,413.23366666666664,412.84818053833794
2022-06-01 09:19:00+00:00,413.37,413.37,413.37,413.37,751,5,413.37008,413.2433333333333,413.0627999999999,413.6274629408011,413.2433333333333,412.8592037258655
2022-06-01 09:20:00+00:00,413.31,413.31,413.31,413.31,136,3,413.320221,413.24799999999993,413.06719999999996,413.6318541385815,413.24799999999993,412.86414586141836
2022-06-01 09:21:00+00:00,413.6,413.62,413.6,413.62,363,8,413.620331,413.26433333333335,413.07979999999986,413.6679068149646,413.26433333333335,412.8607598517021
2022-06-01 09:22:00+00:00,413.59,413.64,413.59,413.64,301,3,413.606711,413.2896666666667,413.0991999999999,413.6889487996759,413.2896666666667,412.8903845336574
2022-06-01 09:23:00+00:00,413.64,413.72,413.64,413.72,390,10,413.692103,413.319,413.1187999999999,413.71106632021605,413.319,412.926933679784
2022-06-01 09:24:00+00:00,413.66,413.66,413.66,413.66,130,2,413.653077,413.3403333333333,413.1419999999999,413.73464229231683,413.3403333333333,412.9460243743498
2022-06-01 09:25:00+00:00,413.64,413.65,413.64,413.65,344,3,413.649651,413.3653333333333,413.16119999999995,413.739382646291,413.3653333333333,412.9912840203756
